id,elevation,ozone,NO2,azimuth,zenith,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,water_vapor,scene,incidence_azimuth,incidence_zenith,AOT_550
14,99,251,0.298,147.6,49,0.1728,0.1397,0.1214,0.109,0.1091,0.1293,0.1406,0.1334,0.1361,0.0417,0.0012,0.1287,0.109,1336,E,102.5,5.8,0.471
15,750,312,0.197,142,29.6,0.1396,0.1296,0.1342,0.1508,0.1753,0.2309,0.2811,0.2637,0.3024,0.083,0.0013,0.292,0.2051,1757,E,166.8,2.8,0.079
16,521,342,0.188,136.3,32.9,0.1356,0.1307,0.1275,0.1359,0.1675,0.2224,0.2493,0.2296,0.2596,0.1047,0.0017,0.2263,0.1807,830,E,210.8,3.1,0.155
17,50,336,0.376,138.7,32.3,0.1621,0.1161,0.1028,0.0898,0.114,0.1856,0.213,0.2054,0.2306,0.0858,0.0113,0.1504,0.1101,1009,D,288.4,8.7,0.077
18,2868,239,0.216,150.9,50.1,0.0846,0.0654,0.0601,0.035,0.0683,0.1751,0.2371,0.2513,0.2434,0.1307,0.0039,0.0961,0.0426,499,D,142.2,3.1,0.047
19,2868,277,0.176,123.7,28.5,0.1361,0.1105,0.101,0.0721,0.1145,0.2244,0.2646,0.2787,0.2906,0.1143,0.001,0.1541,0.0795,1116,D,139.8,3.1,0.234
20,706,343,0.211,143.6,29.7,0.382,0.3675,0.3534,0.3638,0.3934,0.5057,0.5629,0.5208,0.5891,0.1855,0.0031,0.4001,0.3077,2438,I,134.4,3.3,0.16
21,136,286,0.235,166.6,60.4,0.1399,0.1254,0.1103,0.0976,0.1166,0.2249,0.2426,0.2293,0.2663,0.0331,0.0009,0.1107,0.0764,1914,D,284.7,7.2,0.067
22,266,356,0.318,161.3,62.8,0.1732,0.1425,0.1174,0.1056,0.0979,0.1036,0.1039,0.1011,0.1064,0.0485,0.0016,0.1017,0.0825,610,E,221.4,3.3,0.101
23,1655,303,0.196,130,25.3,0.1602,0.1556,0.1675,0.2006,0.2235,0.2543,0.2807,0.2794,0.3141,0.1152,0.002,0.4263,0.3348,1153,E,104.7,7.8,0.044
24,242,274,0.154,158.2,55.8,0.2409,0.2368,0.2657,0.3336,0.3423,0.3632,0.3956,0.3612,0.4049,0.0929,0.0021,0.4539,0.3747,1623,E,124.8,3.5,0.371
25,1539,341,0.289,148.4,37.2,0.1195,0.1115,0.1111,0.1203,0.1388,0.1886,0.2045,0.2056,0.2302,0.1203,0.0025,0.2537,0.1861,517,E,233.2,3.6,0.032
26,1539,306,0.221,127,24.6,0.1374,0.1315,0.1376,0.1414,0.1768,0.2546,0.2831,0.2891,0.3063,0.1316,0.0019,0.3192,0.2279,776,E,106.4,10.6,0.04
27,51,255,0.138,103.3,31.9,0.1746,0.1512,0.1385,0.1495,0.1665,0.1749,0.2056,0.1719,0.2039,0.0323,0.001,0.259,0.2005,3392,E,102.5,9.6,0.132
28,1670,273,0.143,74.7,27,0.1385,0.1244,0.1277,0.1547,0.1617,0.1869,0.2098,0.1998,0.2303,0.0523,0.0013,0.3161,0.2525,2379,E,283.7,8.3,0.35
29,579,315,0.202,122.8,21.6,0.1203,0.089,0.0771,0.0459,0.0746,0.2416,0.3242,0.3181,0.3625,0.0503,0.0008,0.1549,0.0589,3600,D,284.2,7.2,0.165
30,60,272,0.171,142,42.7,0.1385,0.1173,0.1051,0.0893,0.1096,0.1682,0.2088,0.1966,0.2228,0.068,0.0012,0.1699,0.1192,1556,D,283.3,6.4,0.297
31,5,343,0.203,231.2,60.1,0.1928,0.1679,0.1556,0.1656,0.1724,0.1816,0.1995,0.1692,0.1979,0.0519,0.0016,0.2382,0.1788,1448,E,266.8,11.2,0.053
32,680,306,0.388,161,64.9,0.1665,0.1592,0.1449,0.1577,0.1549,0.177,0.2207,0.1824,0.2008,0.0407,0.0023,0.1809,0.1325,1417,E,103.6,5.6,0.095
33,520,297,0.167,159,44.8,0.112,0.0844,0.0775,0.0488,0.097,0.2498,0.2967,0.2855,0.3231,0.1085,0.0017,0.1436,0.0614,1207,D,289,10.3,0.08
34,111,349,0.194,148.4,28.6,0.1638,0.1793,0.1829,0.1965,0.2143,0.2747,0.3065,0.2826,0.3351,0.0902,0.0045,0.2643,0.1917,1451,E,285.3,7.2,0.151
35,377,323,0.208,136.3,28.8,0.2941,0.367,0.3833,0.4532,0.483,0.4922,0.4962,0.4728,0.47,0.2003,0.003,0.448,0.2895,605,E,285.6,9.9,0.078
36,5,441,0.175,234.5,79.8,0.7733,0.7046,0.5788,0.7048,0.7395,0.7942,0.7845,0.7571,0.8041,0.4407,0.0182,0.2125,0.2006,324,K,329.4,10.9,0.111
37,51,269,0.141,142.5,14.5,0.2097,0.1787,0.1776,0.1858,0.19,0.2548,0.2951,0.233,0.3144,0.0599,0.0213,0.2413,0.1662,4076,H,283.9,9.7,0.161
38,5,387,0.19,224.3,63.3,0.6757,0.5684,0.5168,0.568,0.589,0.6491,0.6081,0.5544,0.5806,0.2784,0.0016,0.0767,0.0726,614,K,319.9,6.9,0.036
39,3376,335,0.144,146.2,34.4,0.6606,0.7662,0.7716,0.8137,0.8374,0.8172,0.7729,0.7355,0.7308,0.3932,0.0145,0.024,0.0198,582,K,284,8,0.051
40,15,288,0.13,78.1,18.9,0.1297,0.2445,0.2468,0.2452,0.2284,0.2926,0.3519,0.3318,0.3787,0.0386,0.0007,0.2589,0.1898,4138,E,283.2,7.5,0.108
41,51,349,0.207,168.1,41.1,0.1785,0.1264,0.1052,0.0857,0.1085,0.1659,0.2163,0.1964,0.2288,0.0771,0.004,0.1408,0.0786,924,D,110.3,6.4,0.141
42,125,331,0.284,150.3,34.1,0.1675,0.1492,0.1314,0.1216,0.132,0.1999,0.2373,0.2307,0.2518,0.0434,0.0014,0.2122,0.152,2296,G,106,8.3,0.347
43,750,292,0.196,158.8,44.6,0.1369,0.1227,0.1245,0.1327,0.1513,0.234,0.2744,0.2697,0.3102,0.0751,0.0013,0.2395,0.1605,1666,E,165.7,2.8,0.024
44,200,381,0.27,155.5,49.8,0.1483,0.1275,0.1053,0.1033,0.113,0.1346,0.1417,0.1392,0.1487,0.0624,0.002,0.161,0.1299,708,E,151.8,3,0.215
45,25,344,0.219,168.3,35.7,0.1423,0.1106,0.0853,0.0627,0.058,0.0557,0.0526,0.0508,0.0485,0.0341,0.0224,0.0316,0.0249,1381,J,165.4,2.8,0.186
46,225,331,0.094,195.8,81,0.3098,0.2704,0.2197,0.2364,0.2451,0.2529,0.2551,0.2396,0.2625,0.0835,0.004,0.2228,0.1901,628,I,257,3.3,0.045
47,456,369,0.149,156.3,52.1,0.1746,0.161,0.1457,0.1512,0.148,0.1652,0.1618,0.1643,0.1738,0.0974,0.0022,0.1859,0.1562,470,G,106.3,8.6,0.075
48,37,343,0.226,134.8,23.3,0.2012,0.2294,0.2225,0.2303,0.232,0.258,0.2563,0.241,0.2777,0.0832,0.0035,0.2947,0.2526,1396,G,284.1,7.5,0.082
49,230,369,0.324,162.5,57,0.1291,0.1028,0.0871,0.0733,0.109,0.1803,0.2,0.2112,0.199,0.1071,0.0016,0.1559,0.0979,370,D,290.3,10.4,0.07
50,22,288,0.171,144.8,33,0.194,0.1706,0.1665,0.1717,0.2016,0.2147,0.2365,0.1899,0.2322,0.0515,0.0014,0.2318,0.1742,2002,G,213.4,3.1,0.118
51,10,329,0.246,124.8,22.4,0.1705,0.1738,0.165,0.1651,0.1828,0.2037,0.2306,0.2277,0.251,0.1154,0.0015,0.1845,0.1367,716,E,116.3,3.8,0.037
52,80,287,0.355,172.7,62.8,0.1567,0.1164,0.0891,0.0719,0.0937,0.1455,0.1668,0.1569,0.198,0.061,0.007,0.1086,0.0603,927,D,228,3.4,0.067
53,225,298,0.169,196.5,63.6,0.1867,0.1771,0.1739,0.2045,0.2119,0.2201,0.2273,0.222,0.2415,0.074,0.0014,0.2827,0.249,921,E,204.7,2.7,0.033
54,120,378,0.273,165.1,40.8,0.1136,0.087,0.0777,0.0594,0.0987,0.1943,0.2263,0.2256,0.2536,0.1038,0.0013,0.1863,0.1039,703,D,289.3,10.1,0.06
55,225,298,0.169,196.5,63.6,0.1868,0.1771,0.1739,0.2045,0.2121,0.2204,0.2275,0.222,0.2415,0.074,0.0014,0.2832,0.2492,913,E,129.1,5.2,0.033
56,82,362,0.286,135.9,32,0.2709,0.2397,0.2208,0.2289,0.2554,0.2936,0.3127,0.3001,0.3264,0.2187,0.0387,0.2919,0.2198,441,H,287.1,8.7,0.085
57,1280,312,0.195,136.4,25.8,0.1531,0.152,0.1648,0.2124,0.2273,0.2491,0.2708,0.2759,0.2961,0.092,0.0021,0.37,0.278,1460,E,105.3,6.6,0.168
58,156,365,0.385,158.5,29.3,0.1873,0.2314,0.232,0.2527,0.2592,0.3043,0.3165,0.3056,0.3518,0.0694,0.0014,0.4084,0.3552,2076,E,288.3,9.8,0.25
59,4,268,0.104,82.2,26.4,0.2049,0.1441,0.1463,0.1282,0.1684,0.2616,0.3103,0.3196,0.3525,0.0672,0.008,0.2348,0.1523,2370,D,103,8.4,0.118
60,590,311,0.181,149.5,29.9,0.1158,0.1001,0.0998,0.0905,0.1259,0.2106,0.2457,0.2372,0.2664,0.0574,0.0012,0.2678,0.1492,2233,D,286.9,7.2,0.075
61,144,269,0.292,136.6,37.4,0.2411,0.2301,0.221,0.2087,0.2282,0.2872,0.3125,0.2968,0.3257,0.1445,0.1012,0.266,0.2138,1801,E,221.9,3.4,0.185
62,93,281,0.138,44.6,38.1,0.1768,0.1369,0.1169,0.1145,0.1136,0.1682,0.1991,0.1687,0.2093,0.0581,0.001,0.1775,0.1236,1674,E,215.6,3.3,0.084
63,22,339,0.191,137.8,27.5,0.1972,0.1694,0.1575,0.1727,0.1832,0.2343,0.252,0.2262,0.2516,0.0821,0.0014,0.2516,0.2156,1145,E,105.2,6.3,0.123
64,11,367,0.203,150.9,40.5,0.1571,0.1268,0.1166,0.1543,0.1619,0.178,0.1789,0.1901,0.1964,0.0843,0.0013,0.2676,0.248,857,E,193.4,2.8,0.059
65,125,367,0.297,154.8,34.7,0.1582,0.1441,0.1303,0.1156,0.1351,0.2173,0.2526,0.2518,0.2838,0.0718,0.0012,0.2062,0.1453,1306,D,106.3,7.9,0.144
66,69,317,0.214,128.3,22.1,0.1815,0.1686,0.1721,0.2226,0.2332,0.2678,0.2889,0.2605,0.2981,0.055,0.0019,0.3603,0.2838,2631,E,126.1,3.6,0.456
67,26,356,0.281,147,63.1,0.41,0.3773,0.3496,0.3761,0.4004,0.3706,0.3905,0.3964,0.3841,0.1779,0.0015,0.0383,0.0284,644,K,286,8.6,0.05
68,670,405,0.146,158.1,48.3,0.1464,0.129,0.1179,0.1449,0.1648,0.1761,0.1928,0.1936,0.2133,0.1375,0.0171,0.2601,0.2033,260,J,218.8,3.2,0.051
69,60,336,0.318,160.1,63.6,0.1748,0.1682,0.1574,0.1201,0.1166,0.138,0.1549,0.1922,0.2178,0.1603,0.0177,0.222,0.1493,154,J,103.6,8.4,0.034
70,1207,304,0.175,111,21.8,0.2093,0.2389,0.2561,0.3043,0.3135,0.331,0.3621,0.3465,0.3767,0.1233,0.0018,0.4431,0.3038,1352,E,104.8,6.9,0.146
71,735,341,0.196,157.6,52.6,0.144,0.1875,0.1801,0.1965,0.1763,0.2203,0.2181,0.2439,0.2106,0.0901,0.0015,0.1998,0.1618,688,H,286.7,9.2,0.075
72,235,342,0.292,146.8,25.4,0.1216,0.0969,0.0902,0.0645,0.104,0.2516,0.3227,0.2978,0.357,0.0729,0.001,0.2042,0.0951,2371,D,288,8.9,0.27
73,285,287,0.249,101.2,18.6,0.185,0.1838,0.1861,0.21,0.2159,0.2513,0.2907,0.2454,0.3109,0.0437,0.0012,0.2899,0.2407,3259,E,127,3.4,0.764
74,34,262,0.179,158.7,54.2,0.1301,0.0889,0.054,0.0295,0.0243,0.0197,0.016,0.0135,0.0118,0.0052,0.0004,0.0033,0.0007,994,F,102.3,8.2,0.055
75,983,289,0.155,151.6,53,0.1626,0.1414,0.1394,0.1489,0.1685,0.2071,0.228,0.2141,0.2429,0.0792,0.0014,0.2632,0.1916,1131,E,254.5,4.3,0.012
76,82,339,0.244,135.2,24.6,0.1459,0.1172,0.1092,0.0936,0.1208,0.2201,0.247,0.2568,0.2757,0.0963,0.0044,0.1945,0.132,995,D,105.2,10.3,0.099
77,50,316,0.477,165.8,72.6,0.1821,0.1886,0.1456,0.1385,0.1235,0.118,0.1236,0.138,0.1294,0.0362,0.0015,0.0822,0.061,757,C,105.8,4.7,0.058
78,125,369,0.301,153.2,35.8,0.4404,0.3877,0.3556,0.3443,0.3632,0.4442,0.4975,0.4635,0.5377,0.2717,0.1026,0.3935,0.3694,1969,I,268.8,4.7,0.168
79,5,442,0.175,229.2,79.5,0.7709,0.756,0.6311,0.7693,0.8227,0.8229,0.8534,0.8348,0.8803,0.4279,0.0044,0.169,0.1712,332,K,347.4,10.2,0.056
80,824,324,0.111,151.4,73.9,0.3941,0.3038,0.2135,0.1812,0.1736,0.1659,0.1611,0.1419,0.1537,0.067,0.0025,0.041,0.0279,471,B,104.8,7.7,0.033
81,4,272,0.243,137.1,35.8,0.2374,0.254,0.2966,0.3805,0.4008,0.4166,0.4412,0.431,0.4547,0.2265,0.0036,0.5067,0.434,533,E,285,8.5,0.15
82,37,282,0.261,164,52.5,0.2009,0.2144,0.2029,0.2091,0.2218,0.2216,0.22,0.2048,0.224,0.0734,0.0012,0.2617,0.2398,1145,H,284.1,7.5,0.032
83,160,296,0.212,165.5,67.5,0.1524,0.1211,0.1057,0.0859,0.1319,0.2419,0.2755,0.274,0.3061,0.0886,0.0016,0.2467,0.1344,944,D,199.7,2.9,0.04
84,205,332,0.208,142.5,29.2,0.1454,0.1302,0.1149,0.1056,0.11,0.1728,0.2073,0.1651,0.2027,0.0462,0.001,0.1511,0.1001,2792,G,106.8,6.3,0.071
85,377,282,0.181,129.8,39.9,0.2428,0.2506,0.2387,0.2526,0.2548,0.2902,0.3108,0.2806,0.3213,0.1041,0.0314,0.202,0.146,2056,I,103.7,6.2,0.135
86,60,328,0.711,154.3,53.4,0.1681,0.1437,0.1203,0.1116,0.1161,0.1247,0.1387,0.1284,0.1337,0.0726,0.0047,0.1082,0.0887,684,E,284.5,7.8,0.137
87,82,349,0.26,121.8,30.8,0.1863,0.1608,0.1509,0.1365,0.1602,0.2548,0.3202,0.2929,0.3442,0.0765,0.0126,0.2249,0.1464,2478,J,104.5,10.3,0.19
88,225,316,0.191,203.9,57.1,0.2248,0.2128,0.2055,0.2336,0.2387,0.2557,0.2707,0.256,0.2768,0.0784,0.0032,0.3223,0.2712,1220,E,295.2,4.8,0.119
89,60,325,0.713,168.5,51.9,0.1732,0.143,0.1119,0.1066,0.1112,0.1202,0.123,0.1054,0.1272,0.0653,0.0067,0.1143,0.1072,396,G,283.6,7.8,0.121
90,259,323,0.207,142.1,17.8,0.3604,0.2146,0.2223,0.2448,0.2806,0.4138,0.4799,0.4045,0.5207,0.128,0.0018,0.4109,0.3256,2049,E,281.9,5.8,0.141
91,15,249,0.135,139.7,42.8,0.1517,0.1222,0.1171,0.1218,0.1398,0.1971,0.2025,0.2098,0.2239,0.1365,0.0027,0.1953,0.1487,287,E,96.6,5.4,0.122
92,225,312,0.103,180.3,77.4,0.6311,0.607,0.5172,0.5541,0.5653,0.5682,0.572,0.5576,0.5764,0.2853,0.0103,0.2666,0.1607,317,I,124.9,8,0.086
93,7,371,0.184,213,59.6,0.4082,0.2094,0.1654,0.157,0.1808,0.1638,0.1609,0.1364,0.1697,0.1275,0.0024,0.105,0.0794,348,K,243.1,2.9,0.044
94,22,249,0.09,136.3,32.1,0.1692,0.1615,0.1413,0.1356,0.1383,0.1639,0.1941,0.1719,0.2094,0.0225,0.001,0.2233,0.1709,4063,G,102.5,6.7,0.091
95,130,333,0.158,148.9,46.7,0.1519,0.1246,0.1263,0.1404,0.1632,0.217,0.2377,0.2446,0.2543,0.1018,0.0017,0.2339,0.1714,850,E,283.4,7.9,0.054
96,22,337,0.175,144.9,47.3,0.2352,0.2044,0.1896,0.1943,0.199,0.2117,0.2296,0.2083,0.2401,0.1223,0.0462,0.18,0.1472,842,H,105.2,6.3,0.086
97,1410,291,0.164,163.5,64.7,0.231,0.2599,0.2695,0.3117,0.2814,0.3303,0.3079,0.3265,0.3265,0.1347,0.0026,0.3018,0.2252,465,I,106.1,6.9,0.07
98,47,304,0.212,134.1,32.1,0.1232,0.0996,0.0898,0.0822,0.1049,0.1712,0.1996,0.1959,0.227,0.0781,0.0013,0.2081,0.1198,1203,D,175.9,2.8,0.073
99,63,267,0.17,104.2,26.4,0.1589,0.1585,0.1541,0.1428,0.1625,0.2622,0.3167,0.2959,0.3489,0.0506,0.0011,0.2565,0.1597,3325,E,101.8,6,0.253
100,59,328,0.203,140.3,50.4,0.2319,0.2069,0.1901,0.1877,0.2002,0.2372,0.2554,0.2527,0.2737,0.1118,0.0098,0.2519,0.207,1481,H,104.6,7.7,0.324
101,5,333,0.201,236,60.8,0.2058,0.1931,0.182,0.2007,0.1991,0.2148,0.2248,0.2174,0.2333,0.0732,0.0018,0.2883,0.2433,1056,E,348.8,10.5,0.034
102,1170,344,0.257,145.2,33.3,0.1165,0.0964,0.0852,0.0955,0.1203,0.1472,0.1683,0.1742,0.1964,0.1178,0.0023,0.2446,0.1558,398,E,284.7,8.1,0.069
103,3862,262,0.132,133.5,31.3,0.1235,0.0985,0.0998,0.0843,0.1367,0.2353,0.2747,0.2602,0.2979,0.1122,0.0014,0.2642,0.1594,1161,D,104.3,9.4,0.03
104,423,367,0.213,156.7,31.1,0.1462,0.1268,0.1166,0.1116,0.1141,0.1554,0.1709,0.1528,0.1706,0.0987,0.0016,0.1572,0.1186,371,E,268.7,4.7,0.054
105,3555,310,0.162,105.8,17.1,0.2818,0.2212,0.215,0.2265,0.2378,0.2305,0.2329,0.2211,0.2334,0.2665,0.1201,0.2365,0.2198,164,E,139.7,3.1,0.027
106,50,293,0.582,160.4,60.6,0.2116,0.1753,0.1541,0.1521,0.1522,0.1733,0.1835,0.1864,0.1909,0.0653,0.0016,0.236,0.2006,917,E,104.8,7.1,0.053
107,5,326,0.31,150.3,49.1,0.259,0.2267,0.2199,0.2253,0.2656,0.3301,0.3593,0.3618,0.3951,0.2145,0.1036,0.3954,0.2841,677,E,175.2,2.8,0.058
108,1065,247,0.116,133.8,39.8,0.6834,0.7432,0.7381,0.8022,0.7888,0.8332,0.8633,0.8258,0.8799,0.2386,0.0022,0.7526,0.5881,2614,I,285.3,9.4,0.272
109,10,338,0.222,126.6,23.4,0.2529,0.2497,0.2416,0.2315,0.2539,0.3217,0.3452,0.3376,0.383,0.1519,0.1038,0.3452,0.2433,2788,E,105.1,8.7,0.214
110,225,436,0.076,196.1,76,0.6428,0.6305,0.5678,0.6228,0.6368,0.6329,0.6355,0.6028,0.6256,0.2935,0.0156,0.0985,0.0946,354,K,315.8,9.1,0.26
111,125,367,0.359,161.7,57.7,0.1938,0.1412,0.1138,0.1021,0.1095,0.12,0.1305,0.1257,0.134,0.0772,0.0014,0.1183,0.0954,519,E,279.7,5.4,0.087
112,434,267,0.113,45.3,47.7,0.2269,0.2089,0.1978,0.2084,0.2289,0.2656,0.2806,0.2721,0.28,0.1388,0.016,0.2556,0.1974,1056,H,284.1,8.1,0.053
113,75,369,0.297,150.4,37.1,0.1618,0.1146,0.0961,0.089,0.1219,0.1537,0.1772,0.1418,0.1738,0.0891,0.0015,0.1504,0.1203,713,E,105.4,6,0.146
114,293,283,0.174,176,57.3,0.1864,0.1598,0.1407,0.1381,0.1483,0.1915,0.2157,0.1929,0.2302,0.0632,0.019,0.1877,0.1275,2392,J,177,2.8,0.103
115,348,372,0.269,132.1,43.1,0.1623,0.1348,0.1168,0.1219,0.1422,0.1823,0.2029,0.2111,0.2299,0.1146,0.0119,0.2129,0.1355,577,E,231.2,3.6,0.136
116,225,411,0.161,195.3,62,0.3395,0.2995,0.2721,0.2953,0.3073,0.302,0.3059,0.3035,0.3181,0.167,0.0065,0.2308,0.211,418,K,148.5,3.5,0.072
117,7,393,0.159,212.3,64.8,0.4792,0.4572,0.4138,0.4546,0.4955,0.5082,0.5016,0.4533,0.4998,0.2009,0.0047,0.0646,0.0573,526,K,250,3,0.076
118,368,311,0.199,119.8,23.8,0.1288,0.1171,0.1107,0.1203,0.1281,0.1819,0.2037,0.2039,0.2322,0.0897,0.0015,0.2698,0.1739,1002,E,128.8,3.4,0.035
119,225,357,0.321,147.9,65.8,0.1691,0.1365,0.102,0.0853,0.0821,0.073,0.07,0.068,0.0698,0.019,0.0012,0.0419,0.0369,1276,B,105,9.9,0.098
120,193,371,0.226,142.5,54.4,0.2456,0.2156,0.1873,0.1809,0.1939,0.2469,0.2817,0.2888,0.3148,0.1761,0.0325,0.2584,0.2566,874,H,104.5,5.3,0.074
121,1100,290,0.178,140.3,30.9,0.1786,0.1795,0.2021,0.2521,0.2547,0.2718,0.294,0.2853,0.3238,0.0768,0.0016,0.3953,0.3023,2005,E,284.2,7.3,0.064
122,235,344,0.495,159.7,62.2,0.1369,0.1097,0.0933,0.0921,0.1293,0.1864,0.2166,0.224,0.2524,0.0853,0.0016,0.2567,0.1535,539,D,102.5,5.4,0.014
123,25,321,0.206,167.2,42,0.1153,0.0808,0.0526,0.0294,0.0253,0.0191,0.019,0.0144,0.012,0.0057,0.001,0.0025,0.0018,1524,F,291.9,8.9,0.068
124,1410,274,0.177,158.4,48.2,0.2183,0.2752,0.2827,0.3187,0.2923,0.3197,0.3541,0.3574,0.3654,0.1518,0.0026,0.3187,0.2179,696,E,106.2,6.9,0.065
125,105,335,0.205,168.3,40,0.1493,0.105,0.09,0.0665,0.1071,0.1879,0.2412,0.239,0.2825,0.0844,0.0012,0.2067,0.1182,1486,D,141.1,3.2,0.043
126,104,296,0.251,161.1,41.2,0.1751,0.1699,0.1647,0.1836,0.179,0.1895,0.2111,0.1958,0.2079,0.029,0.0009,0.2355,0.1822,3366,E,269.3,4.9,0.15
127,615,290,0.17,194.1,67,0.1959,0.1515,0.1274,0.1162,0.1141,0.1246,0.1165,0.1091,0.1289,0.048,0.0033,0.1342,0.122,1055,E,138.4,6.4,0.089
128,225,337,0.2,187.2,53.3,0.226,0.1955,0.1972,0.2302,0.2244,0.2357,0.2586,0.2442,0.2594,0.0792,0.0019,0.301,0.2648,1166,E,124.1,8,0.038
129,60,304,0.722,161.1,60.9,0.142,0.1191,0.0919,0.0806,0.0779,0.0773,0.0806,0.077,0.0801,0.0531,0.0015,0.0808,0.0635,437,B,283.6,7.8,0.021
130,360,347,0.204,163.3,34.2,0.1342,0.0956,0.0931,0.0602,0.1099,0.268,0.328,0.3559,0.3592,0.0962,0.0014,0.1966,0.0808,1660,D,172.9,2.8,0.042
131,37,278,0.276,162.8,56.6,0.2219,0.2309,0.2113,0.2177,0.242,0.239,0.2424,0.2231,0.2582,0.1294,0.002,0.2757,0.231,479,G,103.7,9.6,0.047
132,338,299,0.183,148.1,36.1,0.138,0.1055,0.1016,0.0867,0.1183,0.2226,0.2801,0.2667,0.3198,0.0376,0.001,0.2592,0.1244,3702,D,286.4,9.3,0.276
133,25,339,0.216,153.4,38,0.1277,0.0915,0.062,0.0363,0.03,0.0258,0.0241,0.0185,0.018,0.0071,0.0004,0.0052,0.0025,1904,F,290,7.7,0.14
134,5,450,0.175,190.1,81.1,0.6583,0.6103,0.5078,0.5445,0.5609,0.5516,0.5477,0.5338,0.5382,0.2795,0.0088,0.1054,0.1071,295,K,154.2,3.7,0.271
135,423,362,0.206,155.7,46,0.2473,0.2233,0.2067,0.2019,0.2049,0.2165,0.2308,0.2221,0.2381,0.1779,0.1021,0.2312,0.2085,334,E,286.8,9.8,0.2
136,125,293,0.338,166.1,52.6,0.169,0.1236,0.0934,0.0672,0.0735,0.1021,0.1164,0.1044,0.1205,0.0239,0.0017,0.0665,0.0436,1707,C,287.5,6.4,0.13
137,34,301,0.175,133.2,30.4,0.1521,0.1253,0.0994,0.0782,0.067,0.0613,0.0625,0.0571,0.0573,0.0132,0.0018,0.0404,0.0281,1541,F,285.5,9,0.364
138,1,304,0.192,129.4,29,0.1356,0.0952,0.0772,0.0535,0.075,0.1294,0.1648,0.1416,0.1742,0.0306,0.001,0.1108,0.063,2596,D,104.3,8.6,0.115
139,50,341,0.26,142.1,65.1,0.1918,0.1775,0.1575,0.1693,0.1706,0.1807,0.2076,0.1873,0.1958,0.0844,0.0014,0.2216,0.2007,496,E,103.1,5.2,0.063
140,353,321,0.112,180.3,73.4,0.2186,0.4029,0.3602,0.4183,0.3957,0.4511,0.4808,0.5129,0.496,0.1289,0.0038,0.0793,0.0581,517,K,235.3,3.4,0.072
141,225,389,0.194,192.8,57.3,0.4439,0.3575,0.337,0.3674,0.3838,0.3757,0.3738,0.3687,0.37,0.1928,0.0031,0.2332,0.2111,367,K,124.4,7.9,0.037
